restaurant_id,name,cuisine,rating,price_range,location,category,reviews_count,features,image_url
1,"Banks, Flynn and Joseph",Mexican,2.7,$$,Chicago,Mexican Dining & Bistro,606,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
2,"Garza, Melton and Powell",Mexican,4.4,$$,Los Angeles,Mexican Dining & Bistro,252,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
3,Frederick PLC,Japanese,3.5,$,Los Angeles,Japanese Dining & Bistro,1276,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=500&q=80
4,"Sullivan, Gray and Price",Thai,4.4,$,Chicago,Thai Dining & Bistro,1153,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
5,Hurst-Frederick,Japanese,4.8,$$,Los Angeles,Japanese Dining & Bistro,1064,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=500&q=80
6,Marshall-White,Chinese,3.1,$$$$,New York,Chinese Dining & Bistro,721,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1563245372-f21724e3856d?w=500&q=80
7,Johnson PLC,Thai,4.5,$$,New York,Thai Dining & Bistro,569,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
8,"Clark, Clark and Jacobs",Chinese,2.6,$$,Chicago,Chinese Dining & Bistro,506,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1563245372-f21724e3856d?w=500&q=80
9,Harris-Marshall,Indian,4.7,$,Los Angeles,Indian Dining & Bistro,1878,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
10,"Lozano, Deleon and Hart",French,4.1,$$$$,New York,French Dining & Bistro,280,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500&q=80
11,"Sutton, Mitchell and Humphrey",Mexican,4.7,$$,New York,Mexican Dining & Bistro,272,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
12,Morrison-Bennett,Mexican,2.5,$$,San Francisco,Mexican Dining & Bistro,533,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
13,Jackson PLC,Indian,2.9,$$$,San Francisco,Indian Dining & Bistro,1045,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
14,Davis-Cox,Italian,3.5,$,New York,Italian Dining & Bistro,1102,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=500&q=80
15,Walsh-Kane,French,3.4,$$$,Chicago,French Dining & Bistro,258,"Family Friendly, Open 24h, Local Favorites",https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500&q=80
16,Hale and Sons,Thai,3.1,$$$,Houston,Thai Dining & Bistro,964,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
17,"Barnett, Butler and Smith",Indian,3.5,$$,Houston,Indian Dining & Bistro,1868,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=500&q=80
18,"Dixon, Holt and Bradshaw",Thai,2.8,$,New York,Thai Dining & Bistro,1052,"Matcha Specials, Dog Friendly",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
19,Nichols-Roberts,Japanese,3.5,$$$$,New York,Japanese Dining & Bistro,1989,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=500&q=80
20,Scott-Hale,American,4.5,$$,New York,American Dining & Bistro,1289,"Wine Pairings, Romantic Ambiance",https://images.unsplash.com/photo-1550547660-d9450f859349?w=500&q=80
21,Johnson Inc,Mexican,3.7,$$$$,Chicago,Mexican Dining & Bistro,176,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
22,"Russell, Escobar and Jones",Thai,2.5,$$$$,San Francisco,Thai Dining & Bistro,803,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
23,Cook-Rivera,Chinese,3.6,$,New York,Chinese Dining & Bistro,1881,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1563245372-f21724e3856d?w=500&q=80
24,Kemp-Bridges,Thai,2.6,$$$,New York,Thai Dining & Bistro,1543,"Live Music, Craft Soda, Outdoor Patio",https://images.unsplash.com/photo-1559314809-0d155014e29e?w=500&q=80
25,"Hernandez, Spencer and Howard",American,4.9,$,Los Angeles,American Dining & Bistro,1288,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1550547660-d9450f859349?w=500&q=80
26,"Stewart, Guzman and Brock",French,2.8,$$$$,Chicago,French Dining & Bistro,786,"WiFi, Outdoor Seating, Halal Certified",https://images.unsplash.com/photo-1509440159596-0249088772ff?w=500&q=80
27,"Pitts, Wallace and Graham",Mexican,4.3,$$,New York,Mexican Dining & Bistro,1031,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=500&q=80
28,"Lambert, Kent and Chung",Japanese,4.9,$$$$,Los Angeles,Japanese Dining & Bistro,1528,"Vegan Options, Work Friendly, WiFi",https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=500&q=80
